name	branch	head	dirty	upstream	ahead_behind	alpha_rel	class
umtuba-web-private-ai-foundation-v1	office/platform-private-ai-foundation-v1	6fd2230943b5af0b9db2f9f86eeb73d71dbf60d5	CLEAN	origin/office/platform-private-ai-foundation-v1	0	0	NOT_IN_ALPHA_LINEAGE	PARTIAL_OR_SIDE
umtuba-web-private-ai-inference-execution-boundary-v1	HEAD	14ce7fd664c29a6c28eaf18d9f916c04053b013b	CLEAN		NO_UPSTREAM	NOT_IN_ALPHA_LINEAGE	DETACHED_ORPHAN_OR_SUPERSEDED
umtuba-web-private-ai-inference-invocation-orchestration-v1	office/platform-private-ai-inference-invocation-orchestration-v1	16bbaa40277c50b541d1dfe402f3e0dc8961947a	CLEAN	origin/office/platform-private-ai-inference-invocation-orchestration-v1	0	0	NOT_IN_ALPHA_LINEAGE	PARTIAL_OR_SIDE
umtuba-web-private-ai-inference-request-contracts-v1	HEAD	ba0cca404b85b43c3e3dd25ba411818908d27319	CLEAN		NO_UPSTREAM	NOT_IN_ALPHA_LINEAGE	DETACHED_ORPHAN_OR_SUPERSEDED
umtuba-web-private-ai-provider-adapter-boundary-v1	office/platform-private-ai-provider-adapter-boundary-v1	855b2401c4ef9a386f1eaf41bfdcc1eab9a514a3	CLEAN	origin/office/platform-private-ai-provider-adapter-boundary-v1	0	0	NOT_IN_ALPHA_LINEAGE	PARTIAL_OR_SIDE
umtuba-web-private-ai-provider-routing-policy-v1	HEAD	53637d8bd7c4b9b49e80dfbe429d884a969ca545	CLEAN		NO_UPSTREAM	NOT_IN_ALPHA_LINEAGE	DETACHED_ORPHAN_OR_SUPERSEDED
umtuba-web-private-ai-runtime-operations-failover-v1	HEAD	517cff5c1e3bfdf68ed39e4aa58b94909c56590c	CLEAN		NO_UPSTREAM	NOT_IN_ALPHA_LINEAGE	DETACHED_ORPHAN_OR_SUPERSEDED
umtuba-web-private-ai-workflow-lifecycle-v1	HEAD	db6f52a8bd54e22ef33ca19b0a072cea5f3846e1	DIRTY		NO_UPSTREAM	NOT_IN_ALPHA_LINEAGE	DETACHED_ORPHAN_OR_SUPERSEDED
umtuba-web-private-ai-workflow-lifecycle-v1-final	HEAD	eb9e743dffcf453b52b91261eba2a241166ad115	CLEAN		NO_UPSTREAM	NOT_IN_ALPHA_LINEAGE	DETACHED_ORPHAN_OR_SUPERSEDED
umtuba-web-shared-ai-surface-integration-v1	HEAD	db6f52a8bd54e22ef33ca19b0a072cea5f3846e1	DIRTY		NO_UPSTREAM	NOT_IN_ALPHA_LINEAGE	DETACHED_ORPHAN_OR_SUPERSEDED
umtuba-web-shared-ai-surface-integration-v1-clean	HEAD	db6f52a8bd54e22ef33ca19b0a072cea5f3846e1	DIRTY		NO_UPSTREAM	NOT_IN_ALPHA_LINEAGE	DETACHED_ORPHAN_OR_SUPERSEDED
umtuba-web-shared-ai-surface-integration-v1-final	HEAD	b0655bb7b699daa0c40e518fbbadc7397d2f10e4	CLEAN		NO_UPSTREAM	NOT_IN_ALPHA_LINEAGE	DETACHED_ORPHAN_OR_SUPERSEDED
umtuba-web-translation-intelligence-foundation-v1	office/platform-translation-intelligence-foundation-v1	7296ac3c427b4f5da871952de3227585c5962720	CLEAN	origin/office/platform-translation-intelligence-foundation-v1	0	0	NOT_IN_ALPHA_LINEAGE	PARTIAL_OR_SIDE
umtuba-web-translation-learning-foundation-v1	office/platform-translation-learning-foundation-v1	6a3cb3d52fa567e27bed32cfccfe1d26123e3cfc	CLEAN	origin/office/platform-translation-learning-foundation-v1	0	0	NOT_IN_ALPHA_LINEAGE	PARTIAL_OR_SIDE
umtuba-web-translation-studio-app-shell-ingestion-v1	office/platform-translation-studio-app-shell-ingestion-v1	e12cd6d48e86726cabffb4883a39be50e8916a9d	CLEAN	origin/office/platform-translation-studio-app-shell-ingestion-v1	0	0	NOT_IN_ALPHA_LINEAGE	PARTIAL_OR_SIDE
umtuba-web-translation-studio-foundation-v1	office/platform-translation-studio-foundation-v1	aced43c844d93e0bae6cbb6a53cae25698c3cdad	CLEAN	origin/office/platform-translation-studio-foundation-v1	0	0	NOT_IN_ALPHA_LINEAGE	PARTIAL_OR_SIDE
umtuba-web-translation-studio-persistence-workflow-v1	office/platform-translation-studio-persistence-workflow-v1	189ec08d049d7b4ba0e3a037aad435a8ebfc3cc5	CLEAN	origin/office/platform-translation-studio-persistence-workflow-v1	0	0	NOT_IN_ALPHA_LINEAGE	PARTIAL_OR_SIDE
